game_id,community
game_031,0
game_004,0
game_052,0
game_028,0
game_034,0
game_032,0
game_030,0
game_027,0
game_003,0
game_029,0
game_051,0
game_005,0
game_009,0
game_048,0
game_049,0
game_033,0
game_050,0
game_045,1
game_044,1
game_042,1
game_041,1
game_047,1
game_046,1
game_007,1
game_008,1
game_043,1
game_062,2
game_063,2
game_060,2
game_066,2
game_012,2
game_061,2
game_067,2
game_065,2
game_064,2
game_087,3
game_086,3
game_083,3
game_085,3
game_015,3
game_088,3
game_082,3
game_084,3
game_081,3
game_001,4
game_022,4
game_023,4
game_021,4
game_026,4
game_024,4
game_002,4
game_025,4
game_105,5
game_020,5
game_106,5
game_102,5
game_103,5
game_104,5
game_101,5
game_107,5
game_074,6
game_079,6
game_078,6
game_080,6
game_076,6
game_075,6
game_014,6
game_077,6
game_094,7
game_089,7
game_017,7
game_092,7
game_091,7
game_093,7
game_090,7
game_018,7
game_006,8
game_038,8
game_039,8
game_035,8
game_037,8
game_036,8
game_040,8
game_068,9
game_013,9
game_072,9
game_069,9
game_073,9
game_070,9
game_071,9
game_099,10
game_095,10
game_096,10
game_100,10
game_097,10
game_019,10
game_098,10
game_010,11
game_055,11
game_056,11
game_053,11
game_054,11
game_057,12
game_011,12
game_058,12
game_059,12
game_016,13
